yaw,pitch,legibile,size,label
-15.72,26.45,TRUE,201,1
31.32,35.13,FALSE,122.9,0
-51.3,-19.2,TRUE,201,1
-4.83,-20.24,TRUE,10.6,1
32.82,-18.8,TRUE,46.1,1
-47.29,-43.92,FALSE,6.5,0
-17.85,-33.65,TRUE,46.1,1
38.29,-38.9,TRUE,75.3,1
-44.84,42.02,FALSE,17.3,0
15.9,37.95,TRUE,201,1
48.76,42.39,FALSE,28.3,0
-32.33,5,FALSE,6.5,0
23.48,-23.02,FALSE,6.5,0
50.84,-16.29,FALSE,75.3,0
-36.03,-37.23,TRUE,75.3,1
16.71,-48.16,TRUE,75.3,1
52.06,-34.7,FALSE,75.3,0
-43.51,31.39,FALSE,6.5,0
15.62,15.47,TRUE,46.1,1
27.98,22.43,FALSE,10.6,0
-52.1,-3.06,FALSE,122.9,0
5.98,-18.22,TRUE,28.3,1
43.01,9.51,FALSE,17.3,0
-46.55,-40.62,TRUE,122.9,1
-22.41,-44.52,TRUE,75.3,1
26.59,-34.88,FALSE,6.5,0
-51.68,30.65,FALSE,201,0
-5.97,35.43,FALSE,46.1,0
54.44,33.24,FALSE,28.3,0
-37.69,-7.26,TRUE,75.3,1
-17.66,-19.71,TRUE,28.3,1
53.64,-4.71,FALSE,28.3,0
-43.81,-35.57,FALSE,75.3,0
13.29,-47.08,TRUE,28.3,1
51.58,-40.08,FALSE,46.1,0
-30.31,31.12,FALSE,28.3,0
7.24,37.6,FALSE,28.3,0
27.61,34.02,FALSE,6.5,0
-38.53,-23.52,TRUE,28.3,1
-5.56,-26.76,TRUE,46.1,1
38.35,6.18,FALSE,10.6,0
-38.96,-48.45,FALSE,10.6,0
-14.42,-43.15,TRUE,46.1,1
35.74,-31.01,FALSE,6.5,0
-37.75,40.25,FALSE,17.3,0
23.45,26.1,FALSE,6.5,0
40.35,26.48,FALSE,17.3,0
-40.44,-3.12,TRUE,28.3,1
4.68,0.6,TRUE,201,1
50.54,-16.14,TRUE,201,1
-51.12,-37.75,FALSE,10.6,0
-12.23,-41.36,TRUE,122.9,1
40.97,-37.54,FALSE,6.5,0
-43.62,30.87,TRUE,201,1
-19.38,34.15,FALSE,46.1,0
48.65,38.29,FALSE,201,0
-50.88,-1.82,FALSE,17.3,0
-6.1,-12.11,TRUE,122.9,1
46.78,-5.14,TRUE,201,1
-26.99,-50.71,FALSE,46.1,0
-0.36,-44.15,TRUE,122.9,1
28.79,-52.28,FALSE,28.3,0
-46.35,36.11,FALSE,10.6,0
-4.51,43.18,FALSE,17.3,0
31.58,41.22,FALSE,10.6,0
-42.89,-13.53,FALSE,10.6,0
7.63,-22.53,TRUE,75.3,1
34.56,-4.69,TRUE,201,1
-30.32,-50.99,FALSE,122.9,0
-14,-37.24,TRUE,17.3,1
47.39,-46.66,FALSE,17.3,0
-53.55,32.02,FALSE,75.3,0
-18.4,32.78,FALSE,6.5,0
50.28,20.14,FALSE,6.5,0
-52.43,-25.04,FALSE,28.3,0
-4.89,-24.45,TRUE,6.5,1
31.95,-8.35,TRUE,201,1
-54.04,-32.02,FALSE,28.3,0
-3.07,-51.55,FALSE,75.3,0
35.51,-50.61,FALSE,75.3,0
-35.45,22.87,TRUE,201,1
16.24,22.01,TRUE,75.3,1
52.79,31.79,FALSE,17.3,0
-28.69,-23.96,TRUE,46.1,1
17.08,3.34,TRUE,201,1
46.05,-19.05,TRUE,75.3,1
-49.53,-38.03,FALSE,6.5,0
-16.39,-49.85,FALSE,17.3,0
51.02,-44.7,FALSE,122.9,0
-41.6,39.44,FALSE,122.9,0
-21.39,42.51,FALSE,10.6,0
50.95,41.34,FALSE,28.3,0
-35.25,-1.12,FALSE,6.5,0
-1.96,-14.83,TRUE,46.1,1
33.16,-12.1,TRUE,201,1
-53.25,-48.35,FALSE,201,0
23.43,-41.37,TRUE,46.1,1
54.34,-46.8,FALSE,28.3,0
-53.7,22.04,FALSE,28.3,0
3.91,39.1,FALSE,46.1,0
33.32,38.73,FALSE,201,0
-39.07,-3.44,FALSE,6.5,0
3.54,-4.87,TRUE,75.3,1
39.94,-6.6,TRUE,28.3,1
-33.21,-47.42,FALSE,122.9,0
1.22,-43.13,TRUE,122.9,1
52.13,-49.67,FALSE,6.5,0
-51.66,39.51,FALSE,75.3,0
-16.05,36.2,FALSE,6.5,0
29.35,35.64,FALSE,28.3,0
-33.24,-13.43,FALSE,10.6,0
4.67,-15.76,TRUE,46.1,1
45.53,-5.26,TRUE,122.9,1
-51.59,-39.87,FALSE,6.5,0
8.86,-47.9,TRUE,201,1
45.36,-37.95,TRUE,122.9,1
-41.35,37.85,FALSE,6.5,0
16.95,19.09,TRUE,122.9,1
44.43,40.97,FALSE,75.3,0
-45.7,9.54,FALSE,6.5,0
14.76,-3.67,TRUE,28.3,1
41.35,-5.09,TRUE,46.1,1
-28.34,-51.35,FALSE,75.3,0
16.35,-40.94,FALSE,17.3,0
27.13,-42.09,FALSE,17.3,0
-49.95,43.24,FALSE,6.5,0
-1.67,17.96,FALSE,6.5,0
40.55,34.7,FALSE,201,0
-40.4,-0.18,TRUE,122.9,1
19,3.98,TRUE,10.6,1
42.52,-17.52,TRUE,201,1
-44.79,-34.27,TRUE,122.9,1
1.1,-39.65,TRUE,201,1
50.22,-42.95,FALSE,28.3,0
-50.76,32.5,FALSE,46.1,0
10.02,30.38,TRUE,201,1
48.56,28.25,FALSE,75.3,0
-46.46,4.48,TRUE,122.9,1
16.2,0.01,TRUE,28.3,1
28.3,6.65,TRUE,46.1,1
-49.27,-42.45,FALSE,122.9,0
-21.93,-38.09,FALSE,10.6,0
33,-48.26,TRUE,122.9,1
-39.39,24.71,FALSE,28.3,0
-18.5,29.57,FALSE,28.3,0
42.42,31.49,FALSE,75.3,0
-37.31,-14.41,TRUE,28.3,1
-0.37,-4.29,TRUE,46.1,1
27.99,-28.26,TRUE,28.3,1
